#,Country,"GDP
(nominal, 2022)","GDP
(abbrev.)","GDP
growth","Population
(2022)","GDP
per capita","Share of
World GDP"
111,Gabon,"$21,071,739,228",$21.07 billion,3.04%,"2,430,747","$8,669",0.02%
112,Zimbabwe,"$20,678,055,598",$20.68 billion,3.40%,"16,069,056","$1,287",0.02%
113,Botswana,"$20,352,322,157",$20.35 billion,5.78%,"2,439,892","$8,341",0.02%
114,Haiti,"$20,253,551,885",$20.25 billion,-1.68%,"11,503,606","$1,761",0.02%
115,Armenia,"$19,502,783,988",$19.50 billion,12.60%,"2,880,874","$6,770",0.02%
116,State of Palestine,"$19,111,900,000",$19.11 billion,3.93%,"5,305,270","$3,602",0.02%
117,Burkina Faso,"$18,884,619,613",$18.88 billion,1.48%,"22,509,038",$839,0.02%
118,Albania,"$18,882,095,518",$18.88 billion,4.84%,"2,827,608","$6,678",0.02%
119,Mali,"$18,827,176,532",$18.83 billion,3.69%,"23,072,640",$816,0.02%
120,Mozambique,"$17,851,491,428",$17.85 billion,4.15%,"32,656,246",$547,0.02%
121,Malta,"$17,765,270,015",$17.77 billion,6.85%,"528,192","$33,634",0.02%
122,Benin,"$17,401,746,309",$17.40 billion,6.25%,"13,759,501","$1,265",0.02%
123,Jamaica,"$17,097,760,745",$17.10 billion,4.20%,"2,839,144","$6,022",0.02%
124,Mongolia,"$16,810,883,361",$16.81 billion,4.85%,"3,386,015","$4,965",0.02%
125,Brunei,"$16,681,531,646",$16.68 billion,-1.63%,"455,370","$36,633",0.02%
126,Laos,"$15,724,383,783",$15.72 billion,2.71%,"7,559,007","$2,080",0.02%
127,Nicaragua,"$15,671,583,878",$15.67 billion,3.75%,"6,730,654","$2,328",0.02%
128,Guyana,"$15,357,537,068",$15.36 billion,57.80%,"821,637","$18,691",0.02%
129,Madagascar,"$14,954,967,604",$14.95 billion,3.80%,"30,437,261",$491,0.01%
130,Congo,"$14,615,532,210",$14.62 billion,1.55%,"6,035,104","$2,422",0.01%
131,Moldova,"$14,420,947,884",$14.42 billion,-5.95%,"3,039,985","$4,744",0.01%
132,Niger,"$13,969,605,583",$13.97 billion,11.50%,"25,311,973",$552,0.01%
133,North Macedonia,"$13,563,132,057",$13.56 billion,2.15%,"1,840,233","$7,370",0.01%
134,Rwanda,"$13,312,796,765",$13.31 billion,8.16%,"13,651,030",$975,0.01%
135,Malawi,"$13,164,667,627",$13.16 billion,0.92%,"20,568,728",$640,0.01%
136,Mauritius,"$12,898,307,089",$12.90 billion,8.69%,"1,276,130","$10,107",0.01%
137,Bahamas,"$12,897,400,000",$12.90 billion,14.37%,"397,538","$32,443",0.01%
138,Chad,"$12,704,149,842",$12.70 billion,2.24%,"18,455,316",$688,0.01%
139,Namibia,"$12,607,436,976",$12.61 billion,4.56%,"2,889,662","$4,363",0.01%
140,Equatorial Guinea,"$11,813,908,448",$11.81 billion,3.15%,"1,803,545","$6,550",0.01%
141,Kyrgyzstan,"$10,930,644,915",$10.93 billion,7.02%,"6,955,788","$1,571",0.01%
142,Tajikistan,"$10,492,123,388",$10.49 billion,8.00%,"10,182,222","$1,030",0.01%
143,Mauritania,"$10,375,460,680",$10.38 billion,5.20%,"4,875,637","$2,128",0.01%
144,Togo,"$8,126,439,481",$8.13 billion,5.81%,"9,089,738",$894,0.01%
145,Maldives,"$6,189,865,408",$6.19 billion,12.30%,"524,106","$11,810",0.01%
146,Montenegro,"$6,095,978,868",$6.10 billion,6.09%,"614,648","$9,918",0.01%
147,Barbados,"$5,637,914,515",$5.64 billion,10.00%,"282,318","$19,970",0.01%
148,Fiji,"$4,943,248,200",$4.94 billion,16.12%,"919,422","$5,376",0.00%
149,Eswatini,"$4,854,167,638",$4.85 billion,3.91%,"1,218,917","$3,982",0.00%
150,Liberia,"$4,001,047,150",$4.00 billion,4.81%,"5,373,294",$745,0.00%
151,Sierra Leone,"$3,970,343,852",$3.97 billion,3.50%,"8,276,807",$480,0.00%
152,Suriname,"$3,620,655,116",$3.62 billion,1.89%,"623,164","$5,810",0.00%
153,Andorra,"$3,352,032,737",$3.35 billion,8.81%,"79,705","$42,055",0.00%
154,Timor-Leste,"$3,163,324,631",$3.16 billion,-17.49%,"1,369,295","$2,310",0.00%
155,Burundi,"$3,073,414,678",$3.07 billion,1.85%,"13,321,097",$231,0.00%
156,Belize,"$2,824,081,836",$2.82 billion,12.13%,"402,733","$7,012",0.00%
157,Lesotho,"$2,553,459,763",$2.55 billion,0.59%,"2,286,110","$1,117",0.00%
158,Central African Republic,"$2,382,618,615",$2.38 billion,0.00%,"5,098,039",$467,0.00%
159,Cabo Verde,"$2,314,816,792",$2.31 billion,17.71%,"519,741","$4,454",0.00%
160,Gambia,"$2,273,060,863",$2.27 billion,4.92%,"2,636,470",$862,0.00%
161,Saint Lucia,"$2,065,027,556",$2.07 billion,15.40%,"178,781","$11,551",0.00%
162,Antigua and Barbuda,"$1,757,603,704",$1.76 billion,8.46%,"92,840","$18,932",0.00%
163,Guinea-Bissau,"$1,633,559,092",$1.63 billion,3.50%,"2,105,529",$776,0.00%
164,Solomon Islands,"$1,595,710,784",$1.60 billion,-4.06%,"781,066","$2,043",0.00%
165,Seychelles,"$1,588,406,479",$1.59 billion,8.80%,"125,522","$12,654",0.00%
166,Grenada,"$1,256,413,185",$1.26 billion,5.80%,"116,913","$10,747",0.00%
167,Comoros,"$1,242,519,407",$1.24 billion,2.39%,"834,188","$1,489",0.00%
168,Vanuatu,"$983,582,865",$984 million,1.85%,"313,046","$3,142",0.00%
169,Saint Kitts & Nevis,"$961,563,259",$962 million,9.00%,"46,709","$20,586",0.00%
170,St. Vincent & Grenadines,"$948,558,503",$949 million,4.95%,"102,046","$9,295",0.00%
171,Samoa,"$832,421,565",$832 million,-6.02%,"215,261","$3,867",0.00%
172,Dominica,"$612,048,148",$612 million,5.94%,"66,826","$9,159",0.00%
173,Sao Tome & Principe,"$546,680,342",$547 million,0.93%,"226,305","$2,416",0.00%
174,Micronesia,"$427,094,119",$427 million,-0.62%,"523,477",$816,0.00%
175,Marshall Islands,"$279,667,900",$280 million,1.50%,"40,077","$6,978",0.00%
176,Kiribati,"$223,352,943",$223 million,1.56%,"130,469","$1,712",0.00%
177,Tuvalu,"$60,349,391",$60 million,0.68%,"9,992","$6,040",0.00%
